ry_ini_q,ry_ini_delta,ry_fin_q,ry_fin_delta,snow_q,snow_delta,obs_fin_q,obs_fin_delta,resub_factor,prcp_perday,prcp_duration,CLOUD_AGING,p_btm,p_top,delta_q_surf,rh_surf,dt,temp_air_fin,ALPHA_RY_MODE,h_air,surface_wind,temp_air_init,temp_sea_init
5.327510845438027,-14.048893679109554,1.6648435882347152,-27.488657376993988,0.10215260416666666,-14.933388168239468,2.8238395393979445,-14.999518062412065,0.2,1,0.25,True,700,400,-15,0.8,0.5,-10,eff,0.5,6.5,5,5
3.7378786914194815,-14.936640119945,1.6648435882347152,-24.60992637411352,0.10215260416666666,-12.016290493002955,2.8238395393979445,-14.978412817586605,0.2,1,0.25,True,700,400,-15,0.8,0.5,-10,eff,0.5,6.5,0,5
3.7378786914194815,-12.85779587538116,0.6968241909147566,-37.538344188618254,0.10215260416666666,-21.163000045523667,2.8238395393979445,-15.044589396482898,0.2,1,0.25,True,700,400,-15,0.8,1,-20,eq,1,6.5,0,5
5.327510845438027,-14.048893679109554,0.6968241909147566,-42.67504754498692,0.10215260416666666,-26.394073865297855,2.8238395393979445,-15.082436292938596,0.2,1,0.25,True,700,400,-15,0.8,1,-20,eq,0.5,6.5,5,5
3.7378786914194815,-18.035901907714646,1.6648435882347152,-27.709188161883162,0.10215260416666666,-15.156858106650121,2.8238395393979445,-15.001134870721744,0.2,1,0.25,True,700,400,-15,0.8,0.5,-10,eff,0.5,35,0,5
3.7378786914194815,-18.035901907714646,1.6648435882347152,-28.785630276489343,0.10215260416666666,-14.576882099215604,2.8238395393979445,-14.996938735729826,0.2,1,0.25,True,700,400,-15,0.8,0.5,-10,eq,0.5,35,0,5
5.327510845438027,-16.43988535183849,1.6648435882347152,-29.87964904972292,0.10215260416666666,-17.356246102156156,2.8238395393979445,-15.017047475399004,0.2,1,0.25,True,700,400,-15,0.8,0.5,-10,eff,0.5,35,5,5
3.7378786914194815,-14.294863446949414,0.6968241909147566,-38.97541176018651,0.10215260416666666,-22.62646912860774,2.8238395393979445,-15.055177616944192,0.2,1,0.25,True,700,400,-15,0.8,1,-20,eq,1,35,0,5
5.327510845438027,-11.073186114760825,0.6968241909147566,-39.699339980638186,0.10215260416666666,-23.36369721023398,2.8238395393979445,-15.060511473018678,0.2,1,0.25,True,700,400,-15,0.8,1,-20,eq,1,35,5,5
5.327510845438027,-11.073186114760825,0.6968241909147566,-39.699339980638186,0.10215260416666666,-23.36369721023398,2.8238395393979445,-15.060511473018678,0.2,1,0.25,True,700,400,-15,0.8,1,-20,eq,1,6.5,5,5
5.327510845438027,-16.43988535183849,0.6968241909147566,-45.066039217715854,0.10215260416666666,-28.828992347918625,2.8238395393979445,-15.100052964173937,0.2,1,0.25,True,700,400,-15,0.8,1,-20,eq,0.5,35,5,5
3.7378786914194815,-18.035901907714646,0.6968241909147566,-42.71645022095176,0.10215260416666666,-26.436237182753164,2.8238395393979445,-15.082741345164074,0.2,1,0.25,True,700,400,-15,0.8,1,-20,eq,0.5,35,0,5
3.7378786914194815,-12.85779587538116,0.6968241909147566,-34.57103183991974,0.10215260416666666,-20.529460250303142,2.8238395393979445,-15.040005726694172,0.2,1,0.25,True,700,400,-15,0.8,1,-20,eff,1,6.5,0,5
3.7378786914194815,-14.294863446949414,0.6968241909147566,-36.008099411488,0.10215260416666666,-21.989086829202193,2.8238395393979445,-15.050566146580845,0.2,1,0.25,True,700,400,-15,0.8,1,-20,eff,1,35,0,5
5.327510845438027,-11.073186114760825,0.6968241909147566,-36.492398708477886,0.10215260416666666,-22.480988629812334,2.8238395393979445,-15.054125063383772,0.2,1,0.25,True,700,400,-15,0.8,1,-20,eff,1,6.5,5,5
5.327510845438027,-11.073186114760825,0.6968241909147566,-36.492398708477886,0.10215260416666666,-22.480988629812334,2.8238395393979445,-15.054125063383772,0.2,1,0.25,True,700,400,-15,0.8,1,-20,eff,1,35,5,5
3.7378786914194815,-14.936640119945,0.6968241909147566,-36.64987608448359,0.10215260416666666,-22.64093807696441,2.8238395393979445,-15.05528229999953,0.2,1,0.25,True,700,400,-15,0.8,1,-20,eff,0.5,6.5,0,5
5.327510845438027,-16.43988535183849,0.6968241909147566,-41.85909794555555,0.10215260416666666,-27.93193401503805,2.8238395393979445,-15.093562733867639,0.2,1,0.25,True,700,400,-15,0.8,1,-20,eff,0.5,35,5,5
5.327510845438027,-11.073186114760825,1.7398467296524174,-24.969935069793394,0.10215260416666666,-10.846637278244195,2.8238395393979445,-14.969950359278062,0.2,1,0.25,True,700,400,-15,0.8,1,-10,eq,1,35,5,5
5.327510845438027,-14.048893679109554,0.6968241909147566,-39.4681062728266,0.10215260416666666,-25.503408687071232,2.8238395393979445,-15.075992317200914,0.2,1,0.25,True,700,400,-15,0.8,1,-20,eff,0.5,6.5,5,5
3.7378786914194815,-18.035901907714646,0.6968241909147566,-39.74913787225322,0.10215260416666666,-25.78885190504108,2.8238395393979445,-15.078057503104759,0.2,1,0.25,True,700,400,-15,0.8,1,-20,eff,0.5,35,0,5
5.327510845438027,-11.073186114760825,1.7398467296524174,-24.969935069793394,0.10215260416666666,-10.846637278244195,2.8238395393979445,-14.969950359278062,0.2,1,0.25,True,700,400,-15,0.8,1,-10,eq,1,6.5,5,5
5.327510845438027,-11.073186114760825,1.7398467296524174,-23.734171772146524,0.10215260416666666,-11.229955999099511,2.8238395393979445,-14.972723675892974,0.2,1,0.25,True,700,400,-15,0.8,1,-10,eff,1,6.5,5,5
3.7378786914194815,-14.936640119945,1.7398467296524174,-24.887783522337305,0.10215260416666666,-10.763259001330438,2.8238395393979445,-14.969347116211452,0.2,1,0.25,True,700,400,-15,0.8,1,-10,eq,0.5,6.5,0,5
3.7378786914194815,-12.85779587538116,1.7398467296524174,-22.808939277773465,0.10215260416666666,-8.653372378034463,2.8238395393979445,-14.954082055285811,0.2,1,0.25,True,700,400,-15,0.8,1,-10,eq,1,6.5,0,5
3.7378786914194815,-14.936640119945,0.6968241909147566,-39.6171884331821,0.10215260416666666,-23.280036391375663,2.8238395393979445,-15.059906185756923,0.2,1,0.25,True,700,400,-15,0.8,1,-20,eq,0.5,6.5,0,5
5.327510845438027,-11.073186114760825,1.7398467296524174,-23.734171772146524,0.10215260416666666,-11.229955999099511,2.8238395393979445,-14.972723675892974,0.2,1,0.25,True,700,400,-15,0.8,1,-10,eff,1,35,5,5
3.7378786914194815,-14.294863446949414,1.7398467296524174,-24.24600684934172,0.10215260416666666,-10.111898986729695,2.8238395393979445,-14.964634516872021,0.2,1,0.25,True,700,400,-15,0.8,1,-10,eq,1,35,0,5
5.327510845438027,-14.048893679109554,1.7398467296524174,-27.945642634142125,0.10215260416666666,-13.866779648809917,2.8238395393979445,-14.99180113399834,0.2,1,0.25,True,700,400,-15,0.8,1,-10,eq,0.5,6.5,5,5
